20170620004420.wav,Unknown,'t',NotAccepted,'12.69764's
20170620004436.wav,Unknown,'u',NotAccepted,'10.67551's
20170620004450.wav,Unknown,'t',NotAccepted,'12.86116's
20170625230153.wav,Unknown,'k',NotAccepted,'9.14847's
20170625230206.wav,Unknown,'t',NotAccepted,'12.01554's
20170626034105.wav,Unknown,'t',NotAccepted,'10.94211's
20170626034119.wav,Unknown,'u',NotAccepted,'14.05053's
20170626034136.wav,Unknown,'h',NotAccepted,'10.12131's
20170714174217.wav,Unknown,'x',NotAccepted,'13.29691's
20170714174233.wav,Unknown,'y',NotAccepted,'11.57584's
20170714174247.wav,Unknown,'m',NotAccepted,'10.51528's
20170714174300.wav,Unknown,'k',NotAccepted,'10.54783's
20170714174313.wav,Unknown,'w',NotAccepted,'12.95212's
20170714174328.wav,Unknown,'r',NotAccepted,'11.11732's
20170714174341.wav,Unknown,'k',NotAccepted,'10.43648's
20170714174354.wav,Unknown,'c',NotAccepted,'13.6742's
20170714174410.wav,Unknown,'',NotAccepted,'11.6581's
20170714174424.wav,Unknown,'x',NotAccepted,'13.94896's
20170714174441.wav,Unknown,'y',NotAccepted,'15.24659's
20170714174458.wav,Unknown,'y',NotAccepted,'10.99473's
20170714174512.wav,Unknown,'z',NotAccepted,'9.61359's
20170714174524.wav,Unknown,'c',NotAccepted,'8.35939's
20170714174534.wav,Unknown,'x',NotAccepted,'10.13802's
20170714174547.wav,Unknown,'w',NotAccepted,'8.57281's
20170714174558.wav,Unknown,'m',NotAccepted,'12.46838's
20170714174613.wav,Unknown,'w',NotAccepted,'11.21558's
20170714174626.wav,Unknown,'c',NotAccepted,'9.49449's
20170714174638.wav,Unknown,'h',NotAccepted,'9.38989's
20170714174650.wav,Unknown,'b',NotAccepted,'11.24227's
20170714174703.wav,Unknown,'y',NotAccepted,'9.541's
20170714174715.wav,Unknown,'t',NotAccepted,'8.74187's
20170714174727.wav,Unknown,'b',NotAccepted,'11.60609's
20170714174742.wav,Unknown,'',NotAccepted,'11.48209's
20170714174755.wav,Unknown,'t',NotAccepted,'11.17308's
20170714174809.wav,Unknown,'t',NotAccepted,'10.20678's
20170714174821.wav,Unknown,'v',NotAccepted,'11.51404's
20170714174835.wav,Unknown,'c',NotAccepted,'11.16443's
20170714174849.wav,Unknown,'w',NotAccepted,'12.08754's
20170714174904.wav,Unknown,'z',NotAccepted,'12.90178's
20170714174919.wav,Unknown,'n',NotAccepted,'13.18244's
20170714174938.wav,Unknown,'v',NotAccepted,'13.80787's
20170714174954.wav,Unknown,'c',NotAccepted,'11.23047's
20170714175007.wav,Unknown,'m',NotAccepted,'10.79788's
20170714175021.wav,Unknown,'h',NotAccepted,'8.45831's
20170714175031.wav,Unknown,'k',NotAccepted,'10.65612's
20170714175044.wav,Unknown,'w',NotAccepted,'11.40913's
20170714175058.wav,Unknown,'y',NotAccepted,'13.80498's
20170714175114.wav,Unknown,'t',NotAccepted,'14.05991's
20170714175131.wav,Unknown,'r',NotAccepted,'10.15882's
20170714175143.wav,Unknown,'t',NotAccepted,'10.57922's
20170714175156.wav,Unknown,'y',NotAccepted,'9.8604's
20170714175208.wav,Unknown,'y',NotAccepted,'17.16275's
20170714175228.wav,Unknown,'h',NotAccepted,'10.91317's
20170714175241.wav,Unknown,'q',NotAccepted,'11.68029's
20170714175255.wav,Unknown,'m',NotAccepted,'11.76709's
20170714175309.wav,Unknown,'h',NotAccepted,'9.37247's
20170714175321.wav,Unknown,'y',NotAccepted,'10.51456's
20170714175334.wav,Unknown,'z',NotAccepted,'12.90442's
20170714175349.wav,Unknown,'e',NotAccepted,'13.10638's
20170714175405.wav,Unknown,'t',NotAccepted,'12.47458's
20170714175419.wav,Unknown,'t',NotAccepted,'10.34979's
20170714175432.wav,Unknown,'w',NotAccepted,'8.57519's
20170714175443.wav,Unknown,'v',NotAccepted,'8.79127's
20170714175454.wav,Unknown,'h',NotAccepted,'9.78026's
20170714175506.wav,Unknown,'b',NotAccepted,'15.01162's
20170714175524.wav,Unknown,'n',NotAccepted,'11.44795's
20170714175538.wav,Unknown,'h',NotAccepted,'8.44029's
20170714175549.wav,Unknown,'h',NotAccepted,'8.95388's
20170714175600.wav,Unknown,'',NotAccepted,'11.55086's
20170714175615.wav,Unknown,'x',NotAccepted,'11.81591's
20170714175629.wav,Unknown,'k',NotAccepted,'9.46223's
20170714175641.wav,Unknown,'s',NotAccepted,'8.4698's
20170714175652.wav,Unknown,'k',NotAccepted,'8.70911's
20170714175703.wav,Unknown,'e',NotAccepted,'12.66613's
20170714175718.wav,Unknown,'t',NotAccepted,'8.43633's
20170714175728.wav,Unknown,'t',NotAccepted,'9.60252's
20170714175740.wav,Unknown,'v',NotAccepted,'13.87279's
20170714175757.wav,Unknown,'k',NotAccepted,'10.46648's
20170714175809.wav,Unknown,'x',NotAccepted,'10.17402's
20170714175822.wav,Unknown,'v',NotAccepted,'12.08745's
20170714175836.wav,Unknown,'s',NotAccepted,'9.8628's
20170714175849.wav,Unknown,'h',NotAccepted,'10.4896's
20170714175901.wav,Unknown,'r',NotAccepted,'11.70713's
20170714175915.wav,Unknown,'r',NotAccepted,'12.11341's
20170714175930.wav,Unknown,'t',NotAccepted,'8.30265's
20170714175941.wav,Unknown,'m',NotAccepted,'9.70638's
20170714175953.wav,Unknown,'u',NotAccepted,'12.28701's
20170714180007.wav,Unknown,'y',NotAccepted,'9.58076's
20170714180019.wav,Unknown,'c',NotAccepted,'12.25766's
20170714180034.wav,Unknown,'a',NotAccepted,'12.02842's
20170714180048.wav,Unknown,'n',NotAccepted,'8.73923's
20170714180059.wav,Unknown,'r',NotAccepted,'9.17437's
20170714180111.wav,Unknown,'y',NotAccepted,'10.96518's
20170714180124.wav,Unknown,'t',NotAccepted,'10.47288's
20170714180137.wav,Unknown,'t',NotAccepted,'11.48433's
20170714180151.wav,Unknown,'k',NotAccepted,'12.0375's
20170714180205.wav,Unknown,'x',NotAccepted,'9.76931's
20170714180217.wav,Unknown,'m',NotAccepted,'11.7565's
20170714180232.wav,Unknown,'k',NotAccepted,'11.57117's
20170714180245.wav,Unknown,'m',NotAccepted,'11.8962's
20170714180300.wav,Unknown,'t',NotAccepted,'9.17889's
20170714180311.wav,Unknown,'k',NotAccepted,'10.5122's
20170714180324.wav,Unknown,'v',NotAccepted,'8.95715's
20170714180335.wav,Unknown,'h',NotAccepted,'11.57231's
20170714180349.wav,Unknown,'b',NotAccepted,'10.98304's
20170714180403.wav,Unknown,'r',NotAccepted,'10.72297's
20170714180416.wav,Unknown,'k',NotAccepted,'9.7258's
20170714180428.wav,Unknown,'x',NotAccepted,'10.07817's
20170714180440.wav,Unknown,'a',NotAccepted,'10.67351's
20170714180453.wav,Unknown,'u',NotAccepted,'12.18517's
20170714180508.wav,Unknown,'w',NotAccepted,'9.06012's
20170714180520.wav,Unknown,'u',NotAccepted,'10.43884's
20170714180532.wav,Unknown,'w',NotAccepted,'9.47226's
20170714180544.wav,Unknown,'z',NotAccepted,'9.71394's
20170714180556.wav,Unknown,'k',NotAccepted,'9.81686's
20170714180609.wav,Unknown,'w',NotAccepted,'9.1602's
20170714180620.wav,Unknown,'h',NotAccepted,'8.20482's
20170714180631.wav,Unknown,'w',NotAccepted,'8.73215's
20170714180642.wav,Unknown,'n',NotAccepted,'8.66079's
20170714180653.wav,Unknown,'c',NotAccepted,'10.06514's
20170714180705.wav,Unknown,'r',NotAccepted,'11.50834's
20170714180719.wav,Unknown,'t',NotAccepted,'11.24768's
20170714180733.wav,Unknown,'f',NotAccepted,'11.38534's
20170714180746.wav,Unknown,'k',NotAccepted,'10.06069's
20170714180759.wav,Unknown,'s',NotAccepted,'9.3998's
20170714180811.wav,Unknown,'t',NotAccepted,'9.37686's
20170714180822.wav,Unknown,'k',NotAccepted,'10.4526's
20170714180835.wav,Unknown,'b',NotAccepted,'11.32982's
20170714180849.wav,Unknown,'c',NotAccepted,'11.85827's
20170714180903.wav,Unknown,'m',NotAccepted,'11.85472's
20170714180918.wav,Unknown,'b',NotAccepted,'9.67857's
20170714180930.wav,Unknown,'s',NotAccepted,'9.10206's
20170714180941.wav,Unknown,'w',NotAccepted,'11.12041's
20170714180955.wav,Unknown,'h',NotAccepted,'9.15878's
20170714181006.wav,Unknown,'m',NotAccepted,'8.37893's
20170714181017.wav,Unknown,'h',NotAccepted,'10.03108's
20170714181029.wav,Unknown,'m',NotAccepted,'9.36727's
20170714181041.wav,Unknown,'b',NotAccepted,'9.36141's
20170714181053.wav,Unknown,'f',NotAccepted,'12.84677's
20170714181108.wav,Unknown,'k',NotAccepted,'10.54422's
20170714181121.wav,Unknown,'r',NotAccepted,'11.10589's
20170714181134.wav,Unknown,'s',NotAccepted,'11.75791's
20170714181149.wav,Unknown,'h',NotAccepted,'12.21098's
20170714181203.wav,Unknown,'r',NotAccepted,'9.49907's
20170714181215.wav,Unknown,'w',NotAccepted,'10.05608's
20170714181227.wav,Unknown,'r',NotAccepted,'9.48627's
20170714181239.wav,Unknown,'',NotAccepted,'11.41398's
20170714181253.wav,Unknown,'o',NotAccepted,'9.87974's
20170714181305.wav,Unknown,'k',NotAccepted,'11.6891's
20170714181319.wav,Unknown,'k',NotAccepted,'13.36878's
20170714181335.wav,Unknown,'v',NotAccepted,'10.77598's
20170714181348.wav,Unknown,'r',NotAccepted,'9.07374's
20170714181359.wav,Unknown,'t',NotAccepted,'9.45639's
20170714181411.wav,Unknown,'t',NotAccepted,'10.17854's
20170714181424.wav,Unknown,'v',NotAccepted,'10.27862's
20170714181436.wav,Unknown,'c',NotAccepted,'10.04525's
