20170722185129.wav,US,'S5bg9',Accepted,'6.02552's
20170722185143.wav,US,'cnq0y',Accepted,'5.36396's
20170722185151.wav,US,'n0zzq',Accepted,'5.17002's
20170722185200.wav,US,'oa040',Accepted,'5.19868's
20170722185208.wav,US,'xuwbg',Accepted,'5.30615's
20170722185216.wav,US,'SSt58',Accepted,'4.98515's
20170722185223.wav,US,'3hkfg',Accepted,'5.195's
20170722185231.wav,US,'mrtgS',Accepted,'4.90251's
20170722185239.wav,US,'2t4ug',Accepted,'5.14348's
20170722185247.wav,US,'8qrvq',Accepted,'4.8617's
20170722185254.wav,US,'o81wx',Accepted,'5.07993's
20170722185302.wav,US,'xehtx',Accepted,'5.09981's
20170722185309.wav,US,'00S8t',Accepted,'5.18042's
20170722185317.wav,US,'p3lc5',Accepted,'4.96195's
20170722185325.wav,US,'8ycxo',Accepted,'5.01632's
20170722185337.wav,US,'09wno',Accepted,'4.86082's
20170722185346.wav,US,'wnokx',Accepted,'5.50901's
20170722185355.wav,US,'uumvn',Accepted,'5.52965's
20170722185403.wav,US,'r27rf',Accepted,'5.14103's
20170722185411.wav,US,'pk973',Accepted,'4.81914's
20170722185419.wav,US,'myx8z',Accepted,'5.25764's
20170722185427.wav,US,'0v5w4',Accepted,'5.35327's
20170722185435.wav,US,'v494b',Accepted,'5.30318's
20170722185444.wav,US,'f5132',Accepted,'5.06968's
20170722185452.wav,US,'l9fix',Accepted,'5.29497's
20170722185500.wav,US,'t9iz2',Accepted,'4.79249's
20170722185508.wav,US,'eSrvg',Accepted,'5.4296's
20170722185516.wav,US,'SSegx',Accepted,'5.69287's
20170722185524.wav,US,'eo9u8',Accepted,'5.30625's
20170722185532.wav,US,'z9lc1',Accepted,'5.09856's
20170722185544.wav,US,'nrvzy',Accepted,'5.28375's
20170722185552.wav,US,'c0kg2',Accepted,'5.21519's
20170722185600.wav,US,'cqnya',Accepted,'5.37766's
20170722185608.wav,US,'7dtg7',Accepted,'5.30514's
20170722185617.wav,US,'ziqei',Accepted,'5.58878's
20170722185626.wav,US,'3mSpg',Accepted,'5.97493's
20170722185634.wav,US,'5ue9S',Accepted,'5.24289's
20170722185643.wav,US,'xupwz',Accepted,'5.44464's
20170722185651.wav,US,'ngae7',Accepted,'5.45185's
20170722185700.wav,US,'0tpra',Accepted,'5.46668's
20170722185708.wav,US,'2ln4r',Accepted,'4.67348's
20170722185715.wav,US,'ehwzb',Accepted,'5.47321's
20170722185724.wav,US,'o17gd',Accepted,'5.05293's
20170722185736.wav,US,'4zf9h',Accepted,'5.35781's
20170722185744.wav,US,'aobrn',Accepted,'6.83044's
20170722185753.wav,US,'e3wox',Accepted,'5.61284's
20170722185802.wav,US,'p4n3e',Accepted,'5.02247's
20170722185810.wav,US,'yw330',Accepted,'4.35369's
20170722185818.wav,US,'nbeb8',Accepted,'5.04096's
20170722185826.wav,US,'x2qig',Accepted,'5.59668's
20170722185834.wav,US,'gh7no',Accepted,'4.89348's
20170722185842.wav,US,'bjftq',Accepted,'5.26933's
20170722185850.wav,US,'mjb8c',Accepted,'5.30234's
20170722185858.wav,US,'z1bz4',Accepted,'5.09764's
20170722185906.wav,US,'ed0ma',Accepted,'5.38593's
20170722185914.wav,US,'r36x8',Accepted,'4.82521's
